Team Name,Team Number,tb1,tb2,autoYellowPointsIndividual,autoPurplePointsIndividual,autoPixelPoints,autoNavPointsIndividual,autoPoints,dcPoints,egDronePointsIndividual,egNavPointsIndividual,egPoints,totalPointsNp
Bread Pandas,21980,48.6,59,12.0,14.666666666666666,5.466666666666666,4.333333333333333,36.46666666666666,55.133333333333326,8.666666666666666,12.333333333333334,21.0,71.25
SMES Robotics,13303,28,12,2.6666666666666665,4.0,3.266666666666666,3.0,12.933333333333332,14.200000000000001,6.0,4.666666666666667,10.666666666666668,27.150000000000002
RobTot,22030,47,37,9.333333333333334,14.666666666666666,4.933333333333333,4.0,32.93333333333333,25.46666666666667,2.0,15.0,17.0,56.3
Patriotic Robotics,6372,36,31,0.0,6.666666666666667,4.6000000000000005,0.6666666666666666,11.933333333333334,16.4,2.0,9.666666666666666,11.666666666666666,27.700000000000003
Iconic,21868,16.8,35,1.3333333333333333,1.3333333333333333,3.6,3.6666666666666665,9.933333333333334,22.46666666666667,6.666666666666667,16.333333333333332,23.0,38.550000000000004
AlphaOmega,14921,48.6,28,5.333333333333333,5.333333333333333,4.466666666666666,4.0,19.133333333333333,20.933333333333334,0.0,7.666666666666667,7.666666666666667,32.03333333333333
Space Rocks,15303,40.6,40,5.333333333333333,12.0,3.4,3.0,23.73333333333333,27.0,0.6666666666666666,15.0,15.666666666666666,46.15
The Order,24351,25.2,35,5.333333333333333,6.666666666666667,2.4,4.0,18.4,17.666666666666668,4.0,16.666666666666668,20.666666666666668,43.48333333333333
CyberDragons Westley,20799,43,31,5.333333333333333,9.333333333333334,4.0,4.0,22.666666666666668,29.399999999999995,1.3333333333333333,16.0,17.333333333333332,47.35
NerdHerd 7^2,49,51.6,44,4.0,9.333333333333334,2.1999999999999997,4.333333333333333,19.866666666666667,27.999999999999996,3.3333333333333335,9.333333333333334,12.666666666666668,39.53333333333333
STEAMPunks Alpha,9040,12,10,0.0,0.0,1.2666666666666666,1.0,2.2666666666666666,8.933333333333332,0.0,6.0,6.0,10.499999999999998
Gear Gurus,7832,32.6,22,4.666666666666667,6.666666666666667,7.3999999999999995,4.0,22.733333333333334,21.600000000000005,0.0,16.333333333333332,16.333333333333332,44.46666666666666
Chromium Robotics,9247,26,41,0.0,0.0,1.5999999999999999,0.0,1.5999999999999999,19.599999999999998,6.0,17.666666666666668,23.666666666666668,30.166666666666668
